RNVU1-21,ENSG00000202408
RNU7-182P,ENSG00000238788
RNU6-369P,ENSG00000199385
RNU1-30P,ENSG00000272020
AP000944.2,ENSG00000277599
RNU6-559P,ENSG00000251960
RNU6-1205P,ENSG00000200495
RNU7-111P,ENSG00000252645
AC108065.1,ENSG00000276003
RN7SL792P,ENSG00000239888
AC024032.2,ENSG00000276396
AL035450.1,ENSG00000273979
RNU6-1093P,ENSG00000212496
RNA5SP412,ENSG00000277004
SNORD116-15,ENSG00000207174
RNU1-27P,ENSG00000206596
RN7SL650P,ENSG00000274475
RN7SKP195,ENSG00000252396
AC003688.1,ENSG00000202251
RNY4P36,ENSG00000212418
RNU7-75P,ENSG00000251880
FO681485.1,ENSG00000278757
RN7SKP254,ENSG00000222617
AL591387.1,ENSG00000202283
AC105916.1,ENSG00000203436
RNU6-551P,ENSG00000252470
RNU6-1243P,ENSG00000200898
AC074021.1,ENSG00000213167
RNA5SP294,ENSG00000223238
RNU6-788P,ENSG00000212269
AC012640.3,ENSG00000252671
AC096533.2,ENSG00000275213
SCARNA18B,ENSG00000238754
RNU6-952P,ENSG00000212466
AL606748.2,ENSG00000252050
SNORA60,ENSG00000199266
SNORA63B,ENSG00000200418
AC025252.1,ENSG00000199584
RNA5SP99,ENSG00000200890
RNU7-137P,ENSG00000252597
RN7SL817P,ENSG00000241791
RNU6-1297P,ENSG00000207144
AC073135.5,ENSG00000278747
RNU6-466P,ENSG00000212526
RNU6-603P,ENSG00000223335
RNU6-1098P,ENSG00000252581
RNA5SP264,ENSG00000199985
RNA5SP65,ENSG00000200036
RNU6-1024P,ENSG00000206926
AC004386.3,ENSG00000273974
AC118650.1,ENSG00000276685
RNU6-1029P,ENSG00000206836
RN7SL353P,ENSG00000263608
AC073912.1,ENSG00000206850
AL121715.1,ENSG00000251864
SNORD14B,ENSG00000201403
AC009884.1,ENSG00000201157
RNU6-747P,ENSG00000277580
AL365219.1,ENSG00000212532
RNU6-143P,ENSG00000252751
AC106873.7,ENSG00000277583
AC024051.9,ENSG00000277903
AC026347.1,ENSG00000201217
SNORD15B,ENSG00000207445
AC079835.1,ENSG00000201297
AC025771.2,ENSG00000277995
AC117415.2,ENSG00000278026
RNA5SP425,ENSG00000222268
AC004080.13,ENSG00000278020
RNA5SP505,ENSG00000201618
RNU6-680P,ENSG00000207333
RNA5SP496,ENSG00000212542
SNORD13E,ENSG00000238311
RNU6-1108P,ENSG00000252117
RNA5SP302,ENSG00000201766
AC136352.1,ENSG00000273624
AC108065.2,ENSG00000278151
RNA5SP484,ENSG00000238908
RNU6-553P,ENSG00000200917
RNA5SP140,ENSG00000201394
SNORD56,ENSG00000229686
RNU6-179P,ENSG00000200220
RN7SL262P,ENSG00000265033
AC009951.1,ENSG00000273537
AC100803.1,ENSG00000238854
AL109925.2,ENSG00000275823
MIR4711,ENSG00000266150
AC073418.1,ENSG00000274127
RN7SL775P,ENSG00000243370
SCARNA23,ENSG00000251869
RNU7-192P,ENSG00000252275
MIR3117,ENSG00000264720
RN7SL819P,ENSG00000264251
SNORD13,ENSG00000239039
RN7SKP227,ENSG00000201315
MIR942,ENSG00000215930
RN7SL185P,ENSG00000275776
RNU6-275P,ENSG00000201780
AC137488.1,ENSG00000276871
AL390877.1,ENSG00000212266
RNU1-56P,ENSG00000212605
RNU6-822P,ENSG00000199577
MIR3123,ENSG00000265831
Z77249.1,ENSG00000207100
AC090695.1,ENSG00000212306
RN7SL666P,ENSG00000240639
RNU6ATAC23P,ENSG00000221375
RNA5SP310,ENSG00000239152
MIR4294,ENSG00000264800
AL080243.1,ENSG00000199515
RNU6-1177P,ENSG00000212360
SNORD113-8,ENSG00000200367
AC097173.1,ENSG00000200553
RNU6-805P,ENSG00000202513
MIR7113,ENSG00000284293
RNU6-415P,ENSG00000252061
RNU6-1176P,ENSG00000212257
AC013738.1,ENSG00000252888
RNA5SP143,ENSG00000252745
MIR3922,ENSG00000264295
RNU6-1046P,ENSG00000252347
AC023855.1,ENSG00000221044
SNORA37,ENSG00000207233
RN7SL451P,ENSG00000265141
AL137230.1,ENSG00000252655
MIR541,ENSG00000216179
AL391827.2,ENSG00000274742
RNU7-187P,ENSG00000238998
RNU2-27P,ENSG00000251994
SNORD115-35,ENSG00000201992
RN7SL173P,ENSG00000243373
AC022211.1,ENSG00000252042
MIR211,ENSG00000207702
RN7SL678P,ENSG00000263969
RN7SL154P,ENSG00000264317
RN7SL604P,ENSG00000244236
RN7SL444P,ENSG00000265753
MIR3180-5,ENSG00000264397
RN7SL614P,ENSG00000243267
RN7SL677P,ENSG00000242863
AL139113.1,ENSG00000200834
AC004080.9,ENSG00000276609
MIR3178,ENSG00000266232
AL606804.2,ENSG00000283369
RNA5SP449,ENSG00000252680
AC003070.3,ENSG00000275780
MIR5047,ENSG00000284368
AL109925.5,ENSG00000277689
BX001039.1,ENSG00000265920
SNORD42B,ENSG00000238423
MIR6724-3,ENSG00000277379
RNA5SP257,ENSG00000274467
RN7SL398P,ENSG00000244356
AC107024.1,ENSG00000201410
AC211486.5,ENSG00000267828
MIR3198-1,ENSG00000264757
RN7SKP64,ENSG00000253015
RN7SKP110,ENSG00000222078
MIR130B,ENSG00000283871
RN7SL400P,ENSG00000243059
AL356356.2,ENSG00000276103
RNA5SP286,ENSG00000212454
RNU6-360P,ENSG00000212246
MIR378I,ENSG00000283829
RN7SL313P,ENSG00000275655
AC004522.1,ENSG00000199711
AL132994.1,ENSG00000199285
MIR5003,ENSG00000265160
AL136418.2,ENSG00000202402
AC091826.1,ENSG00000206958
RNA5SP338,ENSG00000222427
SNORA40B,ENSG00000208308
MIR4640,ENSG00000284370
AL445248.2,ENSG00000276493
RN7SL146P,ENSG00000240106
RNA5SP531,ENSG00000277418
RN7SKP187,ENSG00000202406
MIR6834,ENSG00000284064
AL592430.1,ENSG00000202190
AL009181.1,ENSG00000199756
MIR3666,ENSG00000272230
RN7SKP83,ENSG00000252321
BX088647.2,ENSG00000275472
RNU6-508P,ENSG00000200101
MIR4664,ENSG00000265660
AL157858.1,ENSG00000274710
RNA5SP121,ENSG00000252346
AL121839.3,ENSG00000274581
SNORA80C,ENSG00000199787
MIR452,ENSG00000283751
AP000552.4,ENSG00000273846
RNU6-792P,ENSG00000200360
RN7SKP103,ENSG00000200718
RNA5SP300,ENSG00000212499
RN7SKP79,ENSG00000200243
AC080069.1,ENSG00000202008
AC016813.1,ENSG00000207258
RNU1-129P,ENSG00000206791
RNU6-599P,ENSG00000238529
SNORD115-23,ENSG00000201331
RN7SL251P,ENSG00000244399
AL021155.2,ENSG00000276470
RNU6-334P,ENSG00000252881
RN7SL375P,ENSG00000265745
RNU6-1015P,ENSG00000252930
AC247039.1,ENSG00000275933
SCARNA11,ENSG00000251898
RNU6-396P,ENSG00000202239
RN7SL520P,ENSG00000240199
AC243679.1,ENSG00000275698
AL355301.1,ENSG00000278752
BX120007.4,ENSG00000265838
RNU6-1270P,ENSG00000252937
RNU6-921P,ENSG00000207089
RNU7-164P,ENSG00000238730
RN7SL861P,ENSG00000243173
AL031684.1,ENSG00000212165
RNU5B-6P,ENSG00000252574
RNU6-689P,ENSG00000206924
RNU6-339P,ENSG00000207037
RNY1P13,ENSG00000201900
RNU1-51P,ENSG00000277908
RN7SL214P,ENSG00000242066
RNU6-520P,ENSG00000207448
RNU7-37P,ENSG00000251707
AC008006.1,ENSG00000206865
RNU6ATAC40P,ENSG00000221507
AC093867.1,ENSG00000207148
AL136303.1,ENSG00000201683
RNU6-475P,ENSG00000251882
RN7SKP232,ENSG00000222102
AL137022.1,ENSG00000264379
RNA5SP63,ENSG00000212527
RNU6-294P,ENSG00000201869
AC131156.1,ENSG00000277118
RNU4-24P,ENSG00000201435
RN7SL453P,ENSG00000276544
AP003063.1,ENSG00000212397
RNU6-961P,ENSG00000200763
RNA5SP93,ENSG00000199395
RN7SKP11,ENSG00000252827
RNA5SP458,ENSG00000262132
RNU4-56P,ENSG00000201570
AP003392.6,ENSG00000280502
RN7SL712P,ENSG00000266828
RNA5SP421,ENSG00000252673
RNU6-313P,ENSG00000252126
AC025647.2,ENSG00000202310
AC010150.1,ENSG00000201160
RN7SL664P,ENSG00000265078
CR388205.2,ENSG00000273764
AC008635.1,ENSG00000222614
RNU6-208P,ENSG00000199301
SNORD69,ENSG00000212452
RN7SL325P,ENSG00000239579
RN7SL378P,ENSG00000265684
SNORA25B,ENSG00000202377
BX649210.3,ENSG00000265248
RNA5-8SN1,ENSG00000278189
Z83840.1,ENSG00000200332
RN7SKP277,ENSG00000252704
RNU1-82P,ENSG00000212153
AC096733.1,ENSG00000222613
RNA5SP108,ENSG00000271924
AL662867.1,ENSG00000265921
RNU1-73P,ENSG00000206698
AL591806.3,ENSG00000238934
RNU4-78P,ENSG00000222872
AC243687.2,ENSG00000276439
AC073575.2,ENSG00000200688
AL691482.1,ENSG00000212512
AL669813.3,ENSG00000263876
AC012119.1,ENSG00000207027
SNORD31B,ENSG00000201847
RNA5SP416,ENSG00000252647
AL132992.1,ENSG00000252800
SNORA59A,ENSG00000239149
AL391421.2,ENSG00000274686
RNA5SP500,ENSG00000201356
RNU6-879P,ENSG00000201198
RN7SL684P,ENSG00000243959
AL671859.1,ENSG00000265495
RNU7-185P,ENSG00000239102
AP000590.1,ENSG00000207196
RNU1-112P,ENSG00000201271
AC021105.1,ENSG00000199530
RNU6-794P,ENSG00000253070
AC040173.1,ENSG00000201075
RNU1-101P,ENSG00000212473
AC010655.5,ENSG00000276988
AC131953.1,ENSG00000207195
RNU6-68P,ENSG00000252385
CR753093.1,ENSG00000265255
RNA5SP406,ENSG00000251915
RN7SL842P,ENSG00000243066
RN7SL285P,ENSG00000243313
RNY4P17,ENSG00000201818
RNU1-5P,ENSG00000277234
AC092630.1,ENSG00000212378
AC137675.2,ENSG00000238912
SNORD98,ENSG00000283551
AL590434.1,ENSG00000201868
RNY4P25,ENSG00000238711
RNU1-70P,ENSG00000199488
RN7SL756P,ENSG00000244610
RNA5SP51,ENSG00000201620
SNORD109B,ENSG00000239169
RN7SKP247,ENSG00000223026
AL451137.1,ENSG00000252580
RNA5SP19,ENSG00000202056
RNA5SP196,ENSG00000280646
RN7SKP188,ENSG00000222721
AP001043.2,ENSG00000272015
AL450304.2,ENSG00000285609
RNU6-390P,ENSG00000252068
AL022315.2,ENSG00000273866
SNORD107,ENSG00000276314
AC087893.2,ENSG00000273499
RN7SL254P,ENSG00000240014
RN7SL541P,ENSG00000240250
AL445423.2,ENSG00000276642
SNORD115-12,ENSG00000199453
RNU6-301P,ENSG00000207004
RNA5-8SN2,ENSG00000278233
AC007375.1,ENSG00000201384
RN7SKP238,ENSG00000252292
RNU6-264P,ENSG00000252943
AC217773.1,ENSG00000238723
RNA5SP342,ENSG00000252902
AC007351.4,ENSG00000275231
RNU6-947P,ENSG00000252073
RN7SKP16,ENSG00000222112
AC106873.6,ENSG00000276100
AC099689.3,ENSG00000288590
AC068594.3,ENSG00000288599
AP002800.2,ENSG00000288594
MIR507,ENSG00000207969
RN7SKP27,ENSG00000222616
AC236668.1,ENSG00000201674
AC002416.1,ENSG00000212434
SNORD117,ENSG00000201785
AC079416.1,ENSG00000238645
RN7SL369P,ENSG00000241542
SNORD116-18,ENSG00000206688
AC007956.1,ENSG00000222604
SNORD114-28,ENSG00000200480
MIR548AU,ENSG00000283146
AC004079.1,ENSG00000274396
SNORA38,ENSG00000200816
AC096917.1,ENSG00000212211
SNORA2A,ENSG00000206612
AL354926.1,ENSG00000283272
RNA5SP148,ENSG00000252336
AL391241.1,ENSG00000252693
MIR6844,ENSG00000284087
RN7SL811P,ENSG00000265439
CR753842.2,ENSG00000264353
RNU6-946P,ENSG00000206605
SNORA56,ENSG00000206693
MIR5681B,ENSG00000283505
RN7SL253P,ENSG00000241652
RNU6-393P,ENSG00000207204
SNORD114-1,ENSG00000199575
RNU7-141P,ENSG00000238777
MIR510,ENSG00000207641
CR936875.1,ENSG00000264847
RNU6-881P,ENSG00000252622
SNORD117,ENSG00000266295
SNORA44,ENSG00000273544
RNA5SP339,ENSG00000212289
SNORA15B-2,ENSG00000206785
MIR548AO,ENSG00000263372
AL049766.1,ENSG00000274760
MIR3907,ENSG00000265810
RNA5SP18,ENSG00000212237
AC011043.1,ENSG00000276256
AC079953.2,ENSG00000261867
MIR30C2,ENSG00000199094
AL031681.1,ENSG00000206998
RN7SKP212,ENSG00000222783
MIR96,ENSG00000199158
RN7SL65P,ENSG00000243770
RNU6-1294P,ENSG00000251804
BX927235.4,ENSG00000265059
AC100840.1,ENSG00000201071
SNORD3E,ENSG00000280704
MIR106B,ENSG00000208036
AC055855.1,ENSG00000223271
RNU6-1123P,ENSG00000199217
MIR6780B,ENSG00000276770
MIR548A2,ENSG00000207689
SNORD32A,ENSG00000201675
MIR4656,ENSG00000264474
RNU6-308P,ENSG00000212259
AC022296.1,ENSG00000201827
AC007351.3,ENSG00000274230
SNORD63B,ENSG00000222937
MIR3660,ENSG00000264342
Z93017.1,ENSG00000276746
AC233698.2,ENSG00000278515
RN7SL122P,ENSG00000263529
MIR1306,ENSG00000284464
AC111186.1,ENSG00000206713
MIR5685,ENSG00000264056
RNU6-1237P,ENSG00000207508
RNU7-157P,ENSG00000238431
MIR581,ENSG00000207627
RNU7-107P,ENSG00000238523
RN7SL432P,ENSG00000242769
AL627313.2,ENSG00000252802
MIR6070,ENSG00000278433
RNU7-61P,ENSG00000251706
MIR1294,ENSG00000221430
AL645729.1,ENSG00000252777
MIR4442,ENSG00000283971
RN7SL449P,ENSG00000242889
RNA5SP374,ENSG00000199809
RN7SKP186,ENSG00000202241
AC115989.2,ENSG00000275982
RN7SL286P,ENSG00000277464
RNU6-830P,ENSG00000252162
MIR3130-1,ENSG00000283469
MIR4791,ENSG00000271898
RN7SKP102,ENSG00000223118
MIR99A,ENSG00000207638
AL158032.1,ENSG00000252128
RNU6-1084P,ENSG00000199368
AC009121.2,ENSG00000212228
RNA5SP459,ENSG00000252437
MIR521-1,ENSG00000207634
RNU6-285P,ENSG00000222488
MIR646,ENSG00000207802
RNU6-617P,ENSG00000251956
AL138883.1,ENSG00000207193
MIR1471,ENSG00000222246
SNORD116-16,ENSG00000207263
AL136038.3,ENSG00000206822
